sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
1,1.989613,2.453263,4.442876,
2,1.101578,5.60305,6.704628,
3,2.026702,5.039593,7.066295,
4,3.009872,7.05075,10.060622,
5,2.013358,7.421175,9.434533,
6,0.807836,1.505615,2.313451,
7,1.03836,4.492377,5.530737,
8,0.700003,1.344186,2.044189,
9,1.020878,2.169628,3.190506,
10,1.549495,3.955156,5.504651,
11,3.355658,5.87285,9.228508,
12,0.658007,1.719146,2.377153,
13,3.097998,7.861688,10.959686,
14,4.493032,7.944889,12.437921,
15,2.273964,5.450191,7.724155,
16,2.401471,6.71529,9.116761,
17,0.956886,1.348699,2.305585,
18,3.693555,5.510149,9.203704,
19,1.537385,3.420855,4.95824,
20,2.405279,7.381035,9.786314,
21,2.343657,7.85398,10.197637,
22,2.093137,7.417614,9.510751,
23,0.767917,1.373086,2.141003,
24,0.965183,2.648931,3.614114,
25,2.257063,6.420254,8.677317,
26,1.0397,2.745246,3.784946,
27,1.949764,6.882174,8.831938,
28,0.730179,1.699969,2.430148,
29,2.398608,8.081386,10.479994,
30,2.160264,8.927769,11.088033,
31,2.859701,5.459039,8.31874,
32,2.070978,8.085399,10.156377,
33,2.122533,8.750354,10.872887,
34,2.695587,2.960937,5.656524,
35,2.776831,5.328493,8.105324,
36,2.295223,9.741981,12.037204,
37,4.855619,7.522209,12.377828,
38,1.276463,3.055328,4.331791,
39,1.126807,4.241327,5.368134,
40,0.577768,1.171641,1.749409,
41,2.601436,5.98419,8.585626,
42,2.525649,6.851682,9.377331,
43,2.579969,6.438169,9.018138,
44,0.623396,1.47425,2.097646,
45,4.175292,3.906409,8.081701,
46,2.516378,10.386714,12.903092,
47,2.562125,5.46819,8.030315,
48,2.415268,9.200647,11.615915,
49,1.895097,1.407999,3.303096,
50,0.976329,2.407498,3.383827,
51,6.423411,6.368061,12.791472,
52,2.491003,8.323265,10.814268,
53,1.551219,2.10429,3.655509,
54,0.873093,1.580564,2.453657,
55,0.568233,1.193635,1.761868,
56,2.382107,10.77077,13.152877,
57,0.740171,1.532155,2.272326,
58,2.004253,1.385485,3.389738,
59,1.162492,2.317554,3.480046,
60,0.820602,1.719954,2.540556,
61,2.751501,6.414766,9.166267,
62,3.288264,6.566856,9.85512,
63,0.549389,1.172606,1.721995,
64,1.106305,3.385214,4.491519,
65,0.716769,1.509008,2.225777,
66,0.926173,2.629657,3.55583,
67,4.355256,6.707664,11.06292,
68,1.327963,3.803779,5.131742,
69,3.484342,9.5498,13.034142,
70,3.312971,6.715494,10.028465,
71,2.102964,8.139465,10.242429,
72,2.145489,5.879878,8.025367,
73,1.0856,3.457553,4.543153,
74,3.871814,7.325421,11.197235,
75,2.955494,5.968227,8.923721,
76,2.180512,5.71399,7.894502,
77,1.08143,2.920829,4.002259,
78,2.038596,5.6076,7.646196,
79,4.134106,6.41574,10.549846,
80,2.856856,6.688612,9.545468,
81,2.458289,8.842798,11.301087,
82,1.636458,1.388161,3.024619,
83,1.968201,3.701774,5.669975,
84,2.056706,8.057628,10.114334,
85,1.367967,3.765846,5.133813,
86,1.873111,5.516602,7.389713,
87,3.530707,7.878447,11.409154,
88,2.747614,9.709371,12.456985,
89,2.357785,8.39397,10.751755,
90,1.170249,2.124234,3.294483,
91,1.636106,2.265095,3.901201,
92,3.187044,7.921097,11.108141,
93,1.557892,4.84431,6.402202,
94,2.370457,7.330162,9.700619,
95,1.81953,6.968525,8.788055,
96,1.457225,4.284152,5.741377,
97,1.842027,7.7926,9.634627,
98,0.758078,2.019801,2.777879,
99,2.178042,6.918394,9.096436,
100,2.95693,8.609907,11.566837,
101,3.811763,10.821762,14.633525,
102,1.186598,6.776984,7.963582,
103,1.766805,7.315755,9.08256,
104,2.912451,5.46198,8.374431,
105,1.513698,3.538897,5.052595,
106,3.142676,9.261481,12.404157,
107,2.612314,5.891415,8.503729,
108,2.214698,5.806731,8.021429,
109,6.207919,6.685839,12.893758,
110,0.842554,1.790794,2.633348,
111,3.362223,5.284931,8.647154,
112,2.954956,6.596302,9.551258,
113,2.818402,7.977177,10.795579,
114,1.140285,1.228437,2.368722,
115,1.434013,4.42484,5.858853,
116,4.565877,7.641818,12.207695,
117,4.846826,6.384875,11.231701,
118,3.007427,5.93847,8.945897,
119,3.323554,7.521872,10.845426,
