sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
143,4.610722,10.70924,15.319962,12.506762
144,0.794205,5.030315,5.82452,11.319844
145,0.99258,6.251949,7.244529,9.125657
146,0.841425,2.037473,2.878898,2.786535
147,2.077988,2.338852,4.41684,3.755819
148,2.063652,16.454007,18.517659,14.922819
149,4.12304,13.981161,18.104201,18.439237
150,1.497193,17.906076,19.403269,16.62596
151,1.0607,4.033918,5.094618,5.078051
152,4.107702,3.498702,7.606404,3.055279
153,6.270902,8.382126,14.653028,10.402392
154,7.397813,5.415959,12.813772,4.028669
155,2.05174,3.010358,5.062098,12.374101
156,21.46157,3.648422,25.109992,4.558309
157,1.625445,5.222342,6.847787,3.960164
158,6.705353,2.644775,9.350128,7.506987
159,1.101602,4.739597,5.841199,10.509794
160,1.060848,44.225199,45.286047,24.396726
161,4.849807,14.031181,18.880988,11.075789
162,1.118179,7.836434,8.954613,6.559456
163,4.176507,4.778148,8.954655,13.034168
164,9.616862,2.450784,12.067646,9.449042
165,1.879129,13.981332,15.860461,14.283278
166,6.294818,11.276008,17.570826,12.368871
167,1.666351,8.455193,10.121544,7.77343
168,2.284736,5.600023,7.884759,7.174784
169,1.083341,5.980844,7.064185,5.729939
170,1.565211,3.303435,4.868646,6.776549
171,3.235764,6.902439,10.138203,9.468048
172,5.814707,3.803493,9.6182,4.687235
173,4.860507,6.541449,11.401956,11.490816
174,2.60783,3.507476,6.115306,3.439031
175,3.429705,2.1765,5.606205,3.642643
176,3.046859,3.748599,6.795458,6.31797
177,10.956671,3.695413,14.652084,5.548358
178,0.911686,4.71468,5.626366,7.131037
179,1.072894,19.518337,20.591231,15.788965
180,2.075369,3.869584,5.944953,12.178206
181,1.469305,7.573861,9.043166,5.581251
182,1.285001,5.455393,6.740394,3.934586
183,0.898235,5.101176,5.999411,5.828446
184,0.74064,2.282351,3.022991,2.42443
185,2.787219,3.161861,5.94908,4.643887
186,0.769863,2.405389,3.175252,2.899711
187,3.576707,5.02385,8.600557,6.56569
188,3.728384,8.098584,11.826968,6.588691
189,0.835088,8.114356,8.949444,9.226103
190,0.940296,6.604376,7.544672,6.937778
191,1.305868,3.206231,4.512099,6.523413
192,0.861636,4.859528,5.721164,5.610958
193,4.48872,4.236972,8.725692,6.028167
194,0.968797,8.205348,9.174145,9.376628
195,1.077074,6.820217,7.897291,9.785005
196,1.205265,4.009665,5.21493,5.353735
197,1.978243,6.346602,8.324845,5.061697
198,2.094005,13.547646,15.641651,19.305282
199,2.249089,16.743832,18.992921,17.537277
200,2.339451,5.263843,7.603294,4.904356
201,0.988322,3.24652,4.234842,4.352394
202,0.978296,5.919887,6.898183,6.443934
203,0.992767,2.764977,3.757744,5.320291
204,1.202036,2.146146,3.348182,2.469021
205,2.889406,4.900751,7.790157,4.378994
206,2.429585,3.744899,6.174484,4.288116
207,0.951327,6.051805,7.003132,6.454742
208,0.948847,5.654938,6.603785,7.253988
209,0.949496,4.186392,5.135888,2.78176
210,2.66256,9.450253,12.112813,12.058453
211,1.10069,8.494289,9.594979,5.876313
212,3.754429,2.475368,6.229797,9.121298
213,1.327936,6.467318,7.795254,9.536684
214,2.936786,4.601474,7.53826,6.160255
215,5.629086,8.116191,13.745277,11.028261
216,1.864972,13.399104,15.264076,12.945738
217,2.668868,5.208764,7.877632,2.58384
218,2.154097,12.842167,14.996264,17.372515
219,4.186036,5.682642,9.868678,5.401956
220,2.733665,8.579689,11.313354,5.683676
221,1.797976,6.320626,8.118602,10.563201
222,6.360169,6.653419,13.013588,6.424509
223,1.893535,3.983385,5.87692,5.494509
224,5.560117,5.442616,11.002733,6.161581
225,0.76047,14.905201,15.665671,5.234749
226,2.317869,2.198843,4.516712,4.498375
227,1.120503,5.002465,6.122968,5.572691
228,4.012973,9.496883,13.509856,8.382562
229,0.793862,4.73785,5.531712,7.448286
230,2.059146,9.635138,11.694284,4.036503
231,10.688144,4.721547,15.409691,8.347967
232,1.523711,5.403817,6.927528,4.200341
233,3.983403,7.94429,11.927693,5.987833
234,2.637663,9.66074,12.298403,11.424928
235,1.036172,19.963509,20.999681,9.990338
236,2.424583,12.172631,14.597214,10.998413
237,5.901185,2.129057,8.030242,3.427098
238,3.50838,7.035974,10.544354,19.502302
239,3.657222,4.034954,7.692176,9.155034
240,1.275949,5.575068,6.851017,7.610352
241,6.131513,5.180838,11.312351,6.956918
242,1.023787,8.347644,9.371431,7.909571
243,3.128336,4.715595,7.843931,6.641405
244,0.892682,7.969367,8.862049,9.946021
245,7.857781,2.409163,10.266944,3.329848
246,1.237521,4.675709,5.91323,5.059525
247,1.651908,4.245569,5.897477,3.830496
248,1.600704,11.059263,12.659967,7.742173
249,0.819058,2.174887,2.993945,3.422722
250,1.002755,3.538268,4.541023,4.121733
251,4.756723,7.915036,12.671759,6.010858
252,2.007835,10.971191,12.979026,10.313298
253,4.030328,6.570352,10.60068,7.94096
254,7.70723,4.821094,12.528324,7.420062
255,1.092656,5.360867,6.453523,7.50963
256,3.773799,3.983444,7.757243,4.386394
257,3.587161,9.031859,12.61902,11.934576
258,7.462949,9.530881,16.99383,5.192417
259,1.64882,13.107247,14.756067,13.695445
260,1.23634,3.892179,5.128519,3.911295
261,3.198952,15.44839,18.647342,15.281422
262,1.629322,10.352946,11.982268,16.013123
263,1.10941,10.689962,11.799372,6.79459
264,0.995116,16.10203,17.097146,8.606005
265,1.134707,9.264778,10.399485,8.361493
266,1.122167,2.708633,3.8308,3.844843
267,1.213308,3.069939,4.283247,7.487714
268,1.954349,13.451107,15.405456,25.472351
269,6.10978,11.156568,17.266348,10.771558
270,3.952381,5.647683,9.600064,4.078739
271,1.232144,7.460524,8.692668,7.572862
272,6.729048,10.860759,17.589807,14.102319
273,1.189866,11.213442,12.403308,12.849692
274,4.374727,6.699966,11.074693,12.428474
275,4.983412,6.065263,11.048675,7.754638
276,3.408095,7.337237,10.745332,11.392906
277,14.884384,6.525949,21.410333,9.600876
278,3.877915,4.33917,8.217085,6.049714
279,8.032794,2.475108,10.507902,5.140115
280,2.633101,4.716887,7.349988,7.330178
281,2.182099,2.784412,4.966511,8.143303
282,6.759807,2.983107,9.742914,5.179794
283,1.776456,10.363072,12.139528,5.343331
284,2.333181,7.003589,9.33677,6.893771
285,4.592633,8.335864,12.928497,7.579297
286,6.675384,4.644469,11.319853,7.349633
287,3.860234,7.829864,11.690098,8.541989
288,0.866036,17.199099,18.065135,5.030058
289,0.697059,4.855214,5.552273,7.586262
290,0.778864,4.356432,5.135296,5.544997
291,10.187547,8.661396,18.848943,6.715668
292,7.972134,8.157645,16.129779,10.813785
293,1.422437,7.248747,8.671184,5.340201
294,1.215129,2.084806,3.299935,2.795933
295,3.982696,19.392219,23.374915,4.72351
296,1.647045,7.736665,9.38371,9.346987
297,4.462539,3.668738,8.131277,6.550239
298,1.159842,4.314242,5.474084,6.550371
299,0.725886,2.530919,3.256805,2.440743
300,1.460114,9.518584,10.978698,8.181967
301,0.820865,6.243088,7.063953,3.6112
302,2.528036,6.375999,8.904035,5.784052
303,4.71646,2.777412,7.493872,3.088813
304,9.639103,34.17543,43.814533,3.283455
305,1.084822,2.897249,3.982071,4.419839
306,5.445774,4.2412,9.686974,6.11348
307,1.086461,1.927968,3.014429,3.558223
308,3.440864,4.448635,7.889499,6.5245
309,1.657989,9.116628,10.774617,15.066837
310,1.612539,6.714161,8.3267,3.178108
311,2.340179,5.131927,7.472106,5.158429
312,2.053159,5.422597,7.475756,5.652789
313,0.87129,8.73824,9.60953,10.912732
314,1.110224,3.794873,4.905097,3.198928
315,3.269376,6.315426,9.584802,8.791013
316,0.776453,5.719015,6.495468,7.890636
317,1.162702,3.011459,4.174161,4.115335
318,1.197979,4.398154,5.596133,5.10011
319,0.966104,3.353665,4.319769,6.734118
320,2.292532,4.163415,6.455947,10.928814
321,0.736491,2.763921,3.500412,7.166448
322,0.940839,3.493203,4.434042,8.492264
323,3.922198,5.778102,9.7003,8.256808
324,0.794682,5.667898,6.46258,6.974183
325,2.352884,7.597156,9.95004,4.147283
326,1.531681,9.04531,10.576991,8.837979
327,6.536647,4.183316,10.719963,5.581085
328,20.978833,7.702701,28.681534,4.810118
329,1.509875,2.33999,3.849865,3.819832
330,3.212358,12.885111,16.097469,16.540497
331,3.934222,3.642397,7.576619,3.867331
332,3.173273,2.857864,6.031137,4.23791
333,2.866276,11.996933,14.863209,4.883754
334,2.046106,7.066876,9.112982,7.550474
335,3.604439,4.277022,7.881461,5.047724
336,2.941813,2.541024,5.482837,9.243798
337,3.310144,16.421268,19.731412,17.839876
338,5.890274,6.058704,11.948978,10.526811
339,2.397984,2.273114,4.671098,3.662509
340,1.870602,2.340128,4.21073,2.752106
341,4.106175,11.36345,15.469625,5.77593
342,3.733607,3.860675,7.594282,5.446319
343,11.314479,2.507779,13.822258,10.4229
344,2.838534,5.580632,8.419166,8.281964
345,0.899177,12.652259,13.551436,11.250238
346,1.539353,1.998233,3.537586,3.373648
347,0.863959,6.897189,7.761148,6.941466
348,0.858527,4.448864,5.307391,5.629448
349,0.79795,16.355333,17.153283,16.505758
350,0.944811,3.080805,4.025616,3.88604
351,2.5295,5.247755,7.777255,6.867012
352,0.998067,5.49117,6.489237,6.29782
353,0.985299,11.171323,12.156622,14.775716
354,2.021955,9.300829,11.322784,6.75429
355,0.844101,2.87134,3.715441,3.025621
356,1.167207,5.102613,6.26982,5.403971
357,1.563939,10.329548,11.893487,5.439543
358,1.019043,24.481481,25.500524,4.625986
359,0.970546,10.970928,11.941474,10.324826
360,2.670849,9.861718,12.532567,11.355184
361,2.797389,6.103547,8.900936,9.641305
362,2.184326,9.736062,11.920388,8.92126
363,0.785993,7.918819,8.704812,7.511035
364,3.3126,1.911752,5.224352,2.157735
365,1.092158,2.009533,3.101691,8.115978
366,0.997809,9.824421,10.82223,4.247008
367,4.959593,4.84502,9.804613,5.830048
368,2.070757,3.630562,5.701319,4.200837
369,5.671713,2.200817,7.87253,7.383445
370,3.265862,3.83484,7.100702,6.542531
371,3.107748,11.891635,14.999383,8.5796
372,3.812459,6.023905,9.836364,9.351555
373,4.73807,7.055669,11.793739,9.896881
374,1.752506,7.229679,8.982185,10.632903
375,12.827934,2.209362,15.037296,5.623711
376,2.919956,5.206375,8.126331,16.373204
377,1.34395,7.263884,8.607834,16.056846
378,3.110459,10.336644,13.447103,8.522306
379,2.9344,8.574781,11.509181,18.528247
380,13.014418,12.461546,25.475964,17.887702
381,6.280163,11.187931,17.468094,12.940094
382,7.99823,6.237204,14.235434,13.909249
383,1.897854,11.380108,13.277962,13.094631
384,6.415255,12.444021,18.859276,12.849663
385,3.840395,15.454846,19.295241,4.050995
386,1.179501,8.25943,9.438931,11.602919
387,2.294707,3.421177,5.715884,4.413672
388,1.724107,6.274524,7.998631,14.579107
389,2.784347,9.189411,11.973758,10.330185
390,4.109872,4.790962,8.900834,7.152957
391,6.32348,9.755387,16.078867,18.650374
392,4.892456,6.907088,11.799544,9.922109
393,10.89455,7.623564,18.518114,9.457827
394,2.678214,7.804817,10.483031,11.100808
395,1.214506,4.497638,5.712144,7.676015
396,1.394532,4.593559,5.988091,30.223582
397,3.279293,8.816199,12.095492,18.253832
398,1.206678,7.248583,8.455261,9.914983
399,2.117202,4.474475,6.591677,4.584501
400,1.85049,6.183184,8.033674,12.411858
401,0.980502,6.108927,7.089429,7.167165
402,2.432965,7.452696,9.885661,7.890489
403,0.891184,4.670657,5.561841,9.468747
404,0.9686,5.337065,6.305665,10.439847
405,1.813887,5.372927,7.186814,16.64775
406,10.525902,9.321049,19.846951,10.373636
407,21.266856,4.099603,25.366459,3.648436
408,11.305854,20.602874,31.908728,6.801464
409,7.494256,6.595194,14.08945,9.058654
410,2.501547,2.610048,5.111595,3.361424
411,2.610477,8.186491,10.796968,5.013276
412,6.412567,7.631253,14.04382,11.089875
413,0.84798,6.816328,7.664308,7.065692
414,1.374846,6.817467,8.192313,5.067911
415,4.853813,8.968926,13.822739,9.519552
416,1.251893,9.442821,10.694714,11.680396
417,5.154724,7.420038,12.574762,6.84513
418,1.431145,7.81378,9.244925,8.142222
419,1.514633,8.410501,9.925134,11.855692
420,1.660517,5.878917,7.539434,12.092782
421,4.83345,5.547676,10.381126,8.362206
422,4.624418,11.380981,16.005399,14.561998
423,3.544595,7.96417,11.508765,8.763369
424,5.301291,7.904077,13.205368,13.197682
425,4.195583,9.687574,13.883157,14.221843
426,1.312665,4.334576,5.647241,6.475217
427,4.83008,3.014563,7.844643,6.683367
428,3.843629,12.301816,16.145445,14.433994
429,1.141135,6.917064,8.058199,12.729615
430,3.150896,12.859576,16.010472,9.860015
431,1.747632,5.369835,7.117467,6.348667
432,1.788923,8.191039,9.979962,10.244026
433,3.667247,7.614218,11.281465,5.211533
434,4.186634,16.886262,21.072896,24.091667
435,5.937832,7.760946,13.698778,8.019854
436,1.52194,7.610421,9.132361,8.431503
437,5.070067,6.829651,11.899718,3.743264
438,2.541586,8.075247,10.616833,6.368828
439,1.380608,6.834106,8.214714,6.930005
440,1.60227,4.626093,6.228363,11.158628
441,2.628816,19.893995,22.522811,15.868696
442,1.045622,3.31397,4.359592,3.951866
443,4.406646,4.739791,9.146437,7.262853
444,5.122988,8.822089,13.945077,8.100183
445,4.917215,14.130636,19.047851,16.892368
446,1.972079,9.469219,11.441298,4.355215
447,2.597884,5.357508,7.955392,6.46472
448,1.716786,17.043148,18.759934,14.059705
449,6.117444,7.906568,14.024012,5.640234
450,1.367216,6.063305,7.430521,6.694479
451,0.750202,2.533745,3.283947,2.879362
452,0.92922,7.519291,8.448511,9.664278
453,0.963334,19.677852,20.641186,7.483415
454,1.216389,6.204476,7.420865,6.880212
455,5.351695,11.047782,16.399477,12.205666
456,9.261068,14.606768,23.867836,15.600371
457,1.460115,11.45003,12.910145,6.418981
458,4.151514,2.930832,7.082346,3.642628
459,2.70906,7.597451,10.306511,8.321472
460,3.090131,3.372651,6.462782,3.321269
461,1.89299,3.396651,5.289641,6.927904
462,1.929488,5.506039,7.435527,6.031568
463,1.903493,3.615521,5.519014,3.888033
464,2.097013,2.165934,4.262947,7.245222
465,1.409091,8.27215,9.681241,12.031112
466,1.477061,9.098968,10.576029,9.915193
467,6.971027,3.379179,10.350206,2.427757
468,0.942545,4.740205,5.68275,6.875805
469,1.102687,6.040204,7.142891,6.84954
470,1.381586,2.421494,3.80308,12.489549
471,7.611899,6.283317,13.895216,9.242207
472,4.530498,3.369822,7.90032,5.067485
473,1.760259,4.797471,6.55773,6.29708
474,0.811416,6.34665,7.158066,10.150436
475,0.764751,2.693687,3.458438,3.934775
476,1.500908,4.678876,6.179784,6.505809
477,3.46944,2.15047,5.61991,4.983766
478,3.219693,2.881251,6.100944,3.213882
479,0.983029,6.172696,7.155725,9.372839
480,0.976629,6.313059,7.289688,6.567475
481,0.831719,1.973078,2.804797,5.683763
482,4.781498,7.279333,12.060831,9.851061
483,1.318804,10.134162,11.452966,7.537717
484,0.743545,8.53779,9.281335,7.33846
485,0.777802,7.740781,8.518583,19.27191
486,1.070118,6.597396,7.667514,8.483765
487,5.302238,9.124165,14.426403,5.768107
488,1.884204,8.15997,10.044174,6.456477
489,1.07942,9.144391,10.223811,10.951945
490,1.087555,4.48521,5.572765,3.296439
491,1.066197,4.190102,5.256299,4.477455
492,1.511052,8.909078,10.42013,14.949828
493,1.04196,5.958304,7.000264,6.518711
494,0.938936,2.751123,3.690059,3.021345
495,1.312309,11.532271,12.84458,15.370221
496,7.699621,18.701182,26.400803,10.680719
497,3.547978,6.350169,9.898147,6.03304
498,0.904381,6.002815,6.907196,6.238565
499,4.019789,7.656893,11.676682,10.602012
500,1.598671,4.196925,5.795596,6.927281
501,2.942811,9.889736,12.832547,8.51255
502,6.770063,6.038374,12.808437,5.203866
503,6.604861,9.385481,15.990342,14.834777
504,4.791711,11.758897,16.550608,12.417568
505,3.920984,2.980896,6.90188,7.488312
506,1.709098,6.028161,7.737259,6.432686
507,1.088847,4.153652,5.242499,7.53545
508,1.2771,9.831059,11.108159,11.571158
509,1.081523,4.156856,5.238379,4.408417
510,1.177908,3.807221,4.985129,10.121228
511,1.583381,4.542686,6.126067,9.183119
512,2.311469,5.000245,7.311714,6.418926
513,1.858835,3.066366,4.925201,5.619408
514,2.576703,7.568589,10.145292,28.68227
515,0.977266,7.32911,8.306376,8.1331
