sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
1,4.069286,14.672882,18.742168,26.606908
2,1.411083,7.257566,8.668649,2.814019
3,7.082615,7.838845,14.92146,10.42392
4,1.025678,4.613386,5.639064,5.688052
5,5.168639,19.29941,24.468049,17.819634
6,8.495518,10.559463,19.054981,9.538418
7,12.871009,28.562286,41.433295,22.37858
8,1.787692,2.241838,4.02953,10.415323
9,4.941807,10.15813,15.099937,7.093339
10,5.321631,18.716377,24.038008,10.493675
11,1.897793,9.26079,11.158583,49.571802
12,5.391702,14.95386,20.345562,16.400635
13,2.725862,4.916948,7.64281,10.794529
14,2.75397,7.644841,10.398811,10.724843
15,6.152733,2.283481,8.436214,4.362958
16,5.813304,3.131817,8.945121,5.125574
17,3.448603,4.487476,7.936079,3.937794
18,1.075825,9.750152,10.825977,8.19973
19,3.381482,10.200984,13.582466,10.604258
20,1.266318,7.822452,9.08877,10.465442
21,3.095475,3.75816,6.853635,9.358342
22,6.014877,30.094914,36.109791,32.213305
23,10.812439,7.806867,18.619306,11.376458
24,4.851496,2.574649,7.426145,5.559298
25,4.357403,3.088158,7.445561,8.510314
26,1.048756,6.979582,8.028338,11.709371
27,1.686271,8.18851,9.874781,14.252242
28,6.139261,2.893202,9.032463,10.025571
29,0.802856,2.987677,3.790533,3.70502
30,5.900174,9.920053,15.820227,6.233843
31,2.511726,10.890744,13.40247,16.431372
32,1.769815,9.242423,11.012238,17.599253
33,2.048641,8.485815,10.534456,12.70144
34,8.333551,9.614953,17.948504,7.37296
35,1.06828,3.582057,4.650337,5.396677
36,1.338272,6.735927,8.074199,6.178197
37,13.423653,4.112941,17.536594,9.092676
38,0.829922,3.28595,4.115872,5.184374
39,6.482584,25.863399,32.345983,16.888768
40,1.666847,6.851601,8.518448,8.202767
41,3.181309,4.192449,7.373758,4.718778
42,0.817272,3.414567,4.231839,6.990061
43,2.987563,6.157874,9.145437,6.522645
44,3.744122,5.483259,9.227381,6.24714
45,2.139523,5.619101,7.758624,4.775438
46,11.492424,5.654692,17.147116,7.196452
47,3.881723,12.876693,16.758416,20.388292
48,1.495779,13.27382,14.769599,16.379727
49,2.237305,4.671996,6.909301,8.40294
50,4.535583,6.664094,11.199677,17.425317
51,17.629132,5.642297,23.271429,10.518391
52,2.337066,4.149512,6.486578,10.497871
53,2.642221,19.599822,22.242043,41.585365
54,4.471228,9.771635,14.242863,33.545106
55,4.101425,2.929711,7.031136,8.213823
56,1.012414,5.802173,6.814587,4.837655
57,3.921963,10.938469,14.860432,15.982519
58,1.999323,4.481883,6.481206,3.062983
59,5.459891,18.38421,23.844101,17.53149
60,4.093203,21.547393,25.640596,14.635163
61,1.09999,20.906445,22.006435,28.969952
62,5.198684,9.905501,15.104185,9.042305
63,5.918672,6.868562,12.787234,7.012642
64,2.811815,7.075757,9.887572,5.844494
65,1.174118,2.749429,3.923547,3.114128
66,1.159639,4.196107,5.355746,4.374847
67,8.645008,7.397305,16.042313,6.726679
68,3.059654,2.468826,5.52848,2.276313
69,0.964646,2.124462,3.089108,2.495061
70,10.144893,3.874678,14.019571,7.319113
71,10.494158,4.906337,15.400495,5.267345
72,1.246892,6.509044,7.755936,8.508042
73,1.291812,5.731626,7.023438,6.019307
74,0.812765,5.933344,6.746109,7.666943
75,0.897337,6.084769,6.982106,6.730458
76,2.609624,11.911955,14.521579,7.992854
77,3.238801,1.76757,5.006371,3.011662
78,0.722425,6.008522,6.730947,7.071666
79,2.888218,3.311699,6.199917,3.722196
80,0.823711,4.299854,5.123565,5.939665
81,0.760827,3.821922,4.582749,2.939617
82,1.654445,16.55954,18.213985,9.431752
83,3.597264,4.599569,8.196833,10.925444
84,1.278125,2.669849,3.947974,4.091861
85,2.688266,14.185681,16.873947,12.68288
86,1.535395,8.2782,9.813595,14.240795
87,3.906111,5.586858,9.492969,8.816773
88,12.692264,8.899268,21.591532,14.862676
89,8.513987,3.204443,11.71843,2.54372
90,2.031631,3.900514,5.932145,5.21584
91,4.734577,8.444626,13.179203,10.264199
92,1.049749,2.377666,3.427415,2.648919
93,0.968087,2.275308,3.243395,4.843839
94,8.772377,3.588666,12.361043,2.503744
95,7.150755,9.65033,16.801085,13.822137
96,1.117179,8.083354,9.200533,10.251817
97,2.954996,4.590685,7.545681,3.525535
98,0.94499,12.946066,13.891056,12.610561
99,2.045915,8.863927,10.909842,10.799566
100,1.224334,4.50422,5.728554,11.401766
101,5.787329,7.385792,13.173121,10.930199
102,2.914477,4.851812,7.766289,24.78138
103,2.583005,16.745564,19.328569,17.925152
104,1.177921,4.134919,5.31284,6.918462
105,2.253483,3.350935,5.604418,11.327464
106,1.118294,3.99967,5.117964,6.24206
107,6.452997,4.945488,11.398485,11.650715
108,7.77113,3.18068,10.95181,6.760844
109,4.656165,9.210668,13.866833,11.294417
110,1.649881,7.457504,9.107385,11.531625
111,2.195102,8.269961,10.465063,21.378227
112,0.662364,3.036827,3.699191,8.451561
113,2.162811,9.445953,11.608764,9.68157
114,2.112958,8.968613,11.081571,7.015772
115,2.121139,12.408597,14.529736,10.029848
116,4.95097,6.759305,11.710275,11.654248
117,4.642926,8.421088,13.064014,17.560143
118,8.734182,7.432551,16.166733,10.163891
119,4.166897,7.633409,11.800306,12.9759
120,4.194474,15.302137,19.496611,19.380509
121,4.649891,2.958165,7.608056,5.165831
122,3.959395,10.252416,14.211811,10.541532
123,6.490794,3.431027,9.921821,4.616053
124,1.000661,9.387649,10.38831,10.854915
125,3.300453,17.067398,20.367851,22.668371
126,7.530131,2.316396,9.846527,7.636445
127,2.138608,20.384066,22.522674,8.254194
128,3.232908,5.205146,8.438054,5.661437
129,2.314035,3.232528,5.546563,6.095763
130,4.168338,13.236929,17.405267,11.77732
131,1.652838,2.382504,4.035342,7.921916
132,1.90608,5.238903,7.144983,3.402197
133,1.532085,10.597668,12.129753,15.070132
134,0.810718,7.334669,8.145387,10.794365
135,0.860288,8.869149,9.729437,11.64484
136,3.145825,15.470931,18.616756,17.3027
137,4.072139,9.197998,13.270137,6.257607
138,2.751578,5.568308,8.319886,7.401398
139,1.840073,11.383423,13.223496,7.677955
140,1.071149,11.266309,12.337458,18.395419
141,6.20494,8.856929,15.061869,3.50728
142,4.793401,11.056235,15.849636,11.340327
143,2.059102,6.925343,8.984445,4.736604
144,3.988153,6.714164,10.702317,4.682521
145,3.707529,9.840428,13.547957,7.389308
146,5.34534,6.032164,11.377504,5.504985
147,5.452346,3.315481,8.767827,8.245575
148,1.815587,7.100372,8.915959,2.925109
149,3.055713,3.328528,6.384241,7.205049
150,1.193765,12.679869,13.873634,11.614622
151,4.960598,11.681077,16.641675,8.617715
152,8.928752,13.960615,22.889367,13.700386
153,5.183264,6.522818,11.706082,7.4075
154,11.122759,7.591387,18.714146,13.068801
155,1.641401,9.531191,11.172592,18.962679
156,0.996719,8.982714,9.979433,18.229644
157,6.785278,7.487434,14.272712,8.233238
158,5.951118,12.173045,18.124163,14.378965
159,1.686562,3.567915,5.254477,4.380371
160,0.921643,6.105974,7.027617,7.130313
161,2.150991,6.650355,8.801346,7.008882
162,5.090894,7.083373,12.174267,5.744545
163,1.074616,5.939817,7.014433,10.261511
164,3.386141,11.144511,14.530652,10.970768
165,7.428251,9.625878,17.054129,10.300875
166,2.990295,4.631767,7.622062,10.435852
167,1.081109,3.632282,4.713391,3.763514
168,1.345315,5.69688,7.042195,8.230846
169,1.283069,6.742765,8.025834,5.823657
170,4.90809,6.027607,10.935697,5.472731
171,0.83401,5.115437,5.949447,6.021021
172,0.746561,5.61741,6.363971,5.999414
173,3.115983,4.940111,8.056094,8.481365
174,5.913401,17.284518,23.197919,16.086835
175,1.365956,10.404509,11.770465,14.588559
176,9.083711,18.155554,27.239265,18.965223
177,4.617076,6.747122,11.364198,8.066662
178,8.273408,2.402285,10.675693,7.289413
179,3.022901,4.266522,7.289423,3.271775
180,2.772485,3.328687,6.101172,3.942161
181,0.929688,4.100732,5.03042,6.172951
182,0.79525,7.647218,8.442468,4.797937
183,1.933024,7.481063,9.414087,12.388783
184,0.816189,4.087484,4.903673,8.936905
185,1.73301,4.143367,5.876377,6.704724
186,3.021985,9.156972,12.178957,13.21442
187,1.172063,3.088725,4.260788,6.223039
188,0.653645,6.279553,6.933198,5.628862
189,3.876715,4.970587,8.847302,10.276528
190,0.776192,7.151456,7.927648,14.074465
191,2.787983,4.16937,6.957353,7.460863
192,0.781887,6.006179,6.788066,5.232982
193,3.976765,9.09836,13.075125,8.904852
194,2.160038,12.420835,14.580873,21.168848
195,1.915118,4.441886,6.357004,2.734173
196,0.812069,5.138343,5.950412,5.514004
197,0.741208,6.94634,7.687548,9.284588
198,3.842799,14.168253,18.011052,7.293314
199,0.925912,4.601862,5.527774,8.581844
200,2.345817,4.75809,7.103907,11.463571
201,0.818723,6.913413,7.732136,6.797842
202,1.938578,3.900795,5.839373,6.577501
203,4.269795,9.837828,14.107623,14.043322
204,3.117428,2.370647,5.488075,3.189675
205,4.195892,2.885462,7.081354,7.146548
206,1.843338,10.112875,11.956213,11.968488
207,2.568564,11.560862,14.129426,6.25517
208,0.906656,6.488836,7.395492,8.595147
209,0.797146,7.476801,8.273947,18.643451
210,0.909839,13.119668,14.029507,8.283278
211,0.830019,4.53374,5.363759,3.75706
212,1.229723,5.84754,7.077263,6.67968
213,5.809346,7.120569,12.929915,6.642092
214,4.236688,5.326022,9.56271,7.149502
215,4.607613,12.815086,17.422699,12.850678
216,4.980421,13.027102,18.007523,13.263903
217,4.524663,2.974318,7.498981,8.15709
218,1.571309,3.759691,5.331,7.015155
219,3.516128,4.444832,7.96096,10.665738
220,1.770266,6.519392,8.289658,9.808315
221,13.107799,8.37115,21.478949,6.250158
222,2.133555,12.113584,14.247139,12.906347
223,1.929506,8.232015,10.161521,6.213583
224,2.405906,8.655293,11.061199,15.213753
225,5.341255,1.800636,7.141891,11.955289
226,5.088856,9.183875,14.272731,9.82292
227,1.62027,6.719641,8.339911,6.811539
228,1.108486,4.845237,5.953723,8.367366
229,9.998654,4.024586,14.02324,6.007173
230,4.637442,6.070165,10.707607,14.182328
231,2.268594,11.487021,13.755615,8.976635
232,2.478412,5.851661,8.330073,7.025945
233,17.885276,4.84118,22.726456,2.890747
234,1.663171,12.944778,14.607949,10.19257
235,1.093655,4.795286,5.888941,5.195774
236,1.066924,7.061,8.127924,7.28195
237,4.796667,5.398175,10.194842,6.757855
238,1.361233,12.527235,13.888468,8.791494
239,5.92063,7.188566,13.109196,7.820135
240,1.484778,8.475091,9.959869,15.073189
241,0.935677,9.412017,10.347694,14.141918
