sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
1,1.666153,8.268767,9.93492,22.73523
2,11.39287,9.15626,20.54913,12.613223
3,1.492736,12.109483,13.602219,10.840723
4,1.501724,3.265246,4.76697,4.023152
5,1.020734,7.187806,8.20854,8.520218
6,0.792733,14.667073,15.459806,27.101725
7,2.830734,8.349154,11.179888,8.894063
8,4.931766,12.65013,17.581896,11.649945
9,1.984561,5.882835,7.867396,7.355516
10,4.609098,5.173336,9.782434,12.521597
11,4.276834,3.940976,8.21781,5.489515
12,1.418193,7.606944,9.025137,6.655456
13,3.119815,5.711689,8.831504,9.215571
14,4.060424,3.980238,8.040662,10.298825
15,1.389202,10.512826,11.902028,14.392015
16,1.85175,9.859792,11.711542,17.140918
17,2.324687,4.424299,6.748986,6.685184
18,3.392202,2.712244,6.104446,4.50943
19,7.449645,5.551746,13.001391,7.628961
20,1.143159,3.784876,4.928035,8.840579
21,1.043042,17.847746,18.890788,5.261875
22,4.570158,9.744022,14.31418,9.488444
23,2.015591,2.476578,4.492169,6.543618
24,1.310886,7.126153,8.437039,4.746764
25,2.705364,6.05329,8.758654,11.996317
26,5.614868,8.711722,14.32659,8.947296
27,3.597219,6.296384,9.893603,15.842811
28,1.094718,6.048641,7.143359,7.709974
29,2.595583,8.627397,11.22298,10.437668
30,1.698108,4.412009,6.110117,5.109325
31,2.251353,5.577081,7.828434,6.838586
32,1.035424,6.701343,7.736767,14.089133
33,2.264245,12.209592,14.473837,11.422664
34,1.886502,2.614996,4.501498,5.597458
35,3.087165,9.841548,12.928713,9.294618
36,2.093407,2.792867,4.886274,5.192461
37,3.762805,7.56604,11.328845,6.472219
38,6.979216,7.848431,14.827647,6.115788
39,4.539676,5.999726,10.539402,8.719727
40,2.788173,7.591451,10.379624,6.778206
41,1.172041,8.02338,9.195421,6.418877
42,0.89273,7.392834,8.285564,15.7007
43,1.248893,4.420655,5.669548,7.384894
44,1.073141,6.461931,7.535072,10.000596
45,0.799,6.798739,7.597739,8.999237
46,3.256949,5.455817,8.712766,5.782176
47,7.983413,4.654705,12.638118,6.792944
48,1.788618,3.76677,5.555388,3.105293
49,1.115174,6.311221,7.426395,7.246135
50,1.768843,7.19956,8.968403,6.646082
51,1.841324,4.059359,5.900683,5.362572
52,3.967412,8.687426,12.654838,4.73373
53,3.260031,20.910576,24.170607,10.046661
54,3.549898,3.842953,7.392851,6.106023
55,4.725591,5.865303,10.590894,3.014709
56,1.316667,4.748705,6.065372,5.009408
57,11.195212,9.829609,21.024821,15.93659
58,10.017655,4.047745,14.0654,6.93024
59,1.565178,3.337737,4.902915,10.838735
60,1.518857,8.953538,10.472395,7.857133
61,1.990456,10.43815,12.428606,7.588667
62,0.767224,4.100172,4.867396,2.155958
63,0.886025,3.109266,3.995291,6.21222
64,5.227696,17.65376,22.881456,13.138772
65,1.41766,3.014927,4.432587,2.987199
66,1.922748,11.739019,13.661767,20.234287
67,1.390174,4.88391,6.274084,9.411148
68,3.093589,5.823363,8.916952,5.14528
69,12.452996,2.504235,14.957231,3.257576
70,1.068418,2.940805,4.009223,12.131966
71,1.441333,9.570399,11.011732,14.721524
72,4.223489,7.093562,11.317051,15.933126
