sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
1,2.510483,4.969597,7.48008,11.718686
2,1.921232,7.043151,8.964383,4.641115
3,2.374808,3.733496,6.108304,12.684302
4,3.031363,4.874962,7.906325,6.273486
5,4.21284,5.190379,9.403219,7.925837
6,1.049325,2.497955,3.54728,11.40704
7,1.555886,2.825609,4.381495,7.930218
8,17.434045,7.144688,24.578733,17.410786
9,0.820687,6.412345,7.233032,4.952931
10,1.814143,7.013735,8.827878,7.048631
11,7.646794,10.641259,18.288053,8.629789
12,0.878743,7.767759,8.646502,7.637613
13,3.932215,4.631597,8.563812,7.937347
14,24.792613,1.92147,26.714083,5.072059
15,2.103224,10.7088,12.812024,12.571536
16,5.464181,5.425809,10.88999,11.049478
17,3.719509,7.654056,11.373565,6.69516
18,0.840181,6.057903,6.898084,5.440491
19,4.647517,5.183583,9.8311,11.605608
20,1.309806,3.266645,4.576451,15.396087
21,0.816883,1.851542,2.668425,26.796623
22,4.124325,2.21635,6.340675,6.705212
23,1.519082,3.938015,5.457097,5.775875
24,1.512066,6.736599,8.248665,6.313328
25,1.055787,3.925232,4.981019,11.249061
26,7.365341,2.302226,9.667567,10.05631
27,0.710267,27.499682,28.209949,30.079036
28,8.338664,18.376246,26.71491,22.632996
29,3.99068,4.742187,8.732867,5.974518
30,6.272143,5.445097,11.71724,3.871619
31,1.188275,3.884986,5.073261,7.801803
32,1.319245,12.146373,13.465618,12.047628
33,1.528913,8.09811,9.627023,3.549138
34,0.993809,7.346534,8.340343,4.657185
35,8.235915,4.186702,12.422617,4.285155
36,10.007193,13.900897,23.90809,12.414554
37,1.104209,2.638444,3.742653,7.297531
38,1.07957,16.146333,17.225903,12.023935
39,4.712601,7.428142,12.140743,9.635042
40,1.13094,8.37845,9.50939,10.003205
41,1.780294,6.487249,8.267543,8.320567
42,3.176552,3.577191,6.753743,3.673099
43,1.630456,9.200301,10.830757,11.513454
44,6.750815,9.860926,16.611741,8.647141
45,1.518688,2.470522,3.98921,4.415283
46,2.845975,7.723345,10.56932,13.894574
47,4.805972,6.825723,11.631695,10.960899
48,3.151499,7.959057,11.110556,10.846127
49,2.24536,2.860577,5.105937,6.366081
50,3.622264,5.052242,8.674506,4.497753
51,4.04276,7.90987,11.95263,16.847338
52,1.157649,6.507874,7.665523,7.482633
53,9.354578,29.927308,39.281886,12.787947
54,1.380291,3.398219,4.77851,5.885654
55,15.036473,2.749318,17.785791,9.380539
56,5.576234,5.758571,11.334805,5.378757
57,1.09092,5.291784,6.382704,13.709531
58,3.268592,9.99462,13.263212,31.921538
59,0.966815,2.504432,3.471247,4.292465
60,1.100296,8.185513,9.285809,10.237615
61,1.04719,11.635011,12.682201,9.776139
62,1.083151,8.816571,9.899722,5.507293
63,4.518749,7.528265,12.047014,4.697747
64,3.995189,20.853195,24.848384,13.155564
65,0.799321,6.859888,7.659209,3.915207
66,3.093162,10.686379,13.779541,13.981023
67,0.982413,9.704773,10.687186,21.448622
68,4.41194,4.505892,8.917832,12.608787
69,2.48437,6.624037,9.108407,8.923525
70,1.576642,4.658302,6.234944,3.904809
71,2.181468,2.690429,4.871897,5.816564
72,10.111973,9.941056,20.053029,15.344056
73,1.806399,11.705092,13.511491,9.546102
74,3.070268,2.145564,5.215832,5.815284
75,11.933335,2.386577,14.319912,27.716297
76,0.667119,1.86285,2.529969,6.813997
77,1.095253,10.832509,11.927762,28.919775
78,0.947504,13.069065,14.016569,9.46547
79,4.183789,10.13499,14.318779,24.706093
80,3.963159,3.178074,7.141233,6.593032
81,1.101734,1.97454,3.076274,3.971795
82,1.564495,4.398673,5.963168,12.464773
83,0.940369,5.373109,6.313478,5.159671
84,8.973215,4.621036,13.594251,9.602164
85,3.950103,6.629726,10.579829,12.603215
86,0.928693,4.56249,5.491183,4.721111
87,5.914235,5.476167,11.390402,5.622559
88,0.77403,17.095391,17.869421,15.283074
89,0.644865,7.889241,8.534106,6.321972
90,0.76761,4.418281,5.185891,7.011574
91,1.861146,3.283233,5.144379,4.780336
92,0.676727,6.64446,7.321187,7.971493
93,0.659428,2.765802,3.42523,4.98114
94,1.05866,5.614109,6.672769,12.580394
95,1.527872,4.186561,5.714433,17.88307
96,1.543742,3.880219,5.423961,6.566049
97,1.735928,1.712809,3.448737,6.325658
98,0.592477,2.923284,3.515761,3.450775
99,0.736947,4.618744,5.355691,5.013349
100,3.036346,11.654772,14.691118,20.16555
101,1.842679,11.77525,13.617929,9.89634
102,0.86609,6.294736,7.160826,6.546511
103,0.845949,6.006803,6.852752,12.216532
104,5.333397,2.513663,7.84706,4.247857
105,1.220391,4.729688,5.950079,5.815811
106,0.880634,5.609681,6.490315,5.850208
107,2.092436,2.698365,4.790801,6.631965
108,3.217919,6.937602,10.155521,8.853967
109,1.221387,6.350428,7.571815,10.626062
110,2.825539,3.485225,6.310764,6.002736
111,1.562074,7.69196,9.254034,5.643559
112,6.420709,11.147061,17.56777,15.409782
113,1.163307,8.162323,9.32563,8.296599
114,0.726742,8.539849,9.266591,7.817835
115,1.46448,4.34779,5.81227,8.622217
116,0.82901,9.050848,9.879858,11.233768
117,0.704288,4.468343,5.172631,10.173728
118,2.250932,8.445117,10.696049,10.425911
