sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
1,2.38122,19.182212,21.563432,26.117935
2,7.099084,3.944109,11.043193,5.617757
3,1.549661,3.079548,4.629209,8.207965
4,5.263649,19.60711,24.870759,21.900608
5,1.857924,15.906148,17.764072,5.597746
6,9.318099,6.546433,15.864532,11.207518
7,5.210288,5.629333,10.839621,8.338731
8,5.154616,7.310898,12.465514,10.798559
9,5.33068,20.775888,26.106568,14.607127
10,4.6223,8.812942,13.435242,19.650855
11,2.761185,8.186193,10.947378,14.154447
12,3.453864,13.280942,16.734806,11.349021
13,3.167083,12.006826,15.173909,10.879633
14,2.500064,13.250576,15.75064,13.994367
15,4.054535,12.270511,16.325046,14.463232
16,1.781427,6.252965,8.034392,7.705342
17,4.170149,5.882016,10.052165,8.080127
18,5.70734,5.619393,11.326733,7.141366
19,2.811011,11.87221,14.683221,11.969963
20,3.522464,4.610201,8.132665,9.905085
21,2.987341,6.109469,9.09681,11.066165
22,3.10839,5.83952,8.94791,5.981368
23,5.752893,15.826745,21.579638,10.052021
24,12.124612,3.996415,16.121027,15.668295
25,0.980506,3.872132,4.852638,12.713013
26,3.549272,7.203727,10.752999,9.547678
27,6.318646,11.857,18.175646,14.916592
28,1.118964,6.17469,7.293654,12.081571
29,3.584215,7.951893,11.536108,14.035829
30,1.808499,5.209508,7.018007,7.875962
31,3.24265,5.055111,8.297761,7.710678
32,1.629693,10.028992,11.658685,9.507506
33,7.589738,14.384168,21.973906,12.045567
34,2.330865,7.801929,10.132794,4.398603
35,1.016087,5.617028,6.633115,6.970193
36,1.437399,5.705471,7.14287,7.338831
37,2.539887,2.415663,4.95555,3.53355
38,1.697245,3.016444,4.713689,14.494828
39,1.197942,28.19189,29.389832,35.635402
40,5.211637,17.003821,22.215458,19.97229
41,1.109627,7.580654,8.690281,12.254946
42,1.427398,7.083114,8.510512,8.461268
43,4.864964,15.75807,20.623034,12.345016
44,4.086907,11.739698,15.826605,8.859271
45,3.78375,7.106327,10.890077,8.590609
46,7.63662,19.088473,26.725093,19.484824
47,1.319037,8.519587,9.838624,6.117803
48,4.687645,2.667607,7.355252,3.355848
49,8.826653,4.996174,13.822827,6.149226
50,0.99009,7.876371,8.866461,14.220496
51,1.435314,9.482947,10.918261,9.786464
52,6.546429,22.963558,29.509987,26.379021
53,5.875617,6.911353,12.78697,7.273913
54,7.844689,15.446864,23.291553,13.813516
55,1.084065,2.484108,3.568173,5.246104
56,1.756263,3.104799,4.861062,6.503587
57,2.493858,4.830288,7.324146,7.173164
58,0.884609,10.273389,11.157998,10.713662
59,1.544204,8.632892,10.177096,11.644071
60,1.753487,11.208595,12.962082,7.918284
61,2.608544,6.523624,9.132168,7.097989
62,2.894699,5.151995,8.046694,5.89481
63,0.787135,3.649606,4.436741,4.137345
64,1.432117,3.120114,4.552231,6.239508
65,0.994699,5.068535,6.063234,7.503839
66,5.930418,5.70478,11.635198,5.110475
67,2.051777,5.917405,7.969182,10.622369
68,2.899331,2.971964,5.871295,5.810404
69,1.909948,3.560408,5.470356,4.208439
70,1.025552,13.070919,14.096471,25.456555
71,0.763778,3.869925,4.633703,4.74592
72,0.882589,5.468333,6.350922,3.104236
73,1.180827,7.35264,8.533467,6.608122
74,0.637265,3.706054,4.343319,4.9939
75,0.900753,3.560357,4.46111,3.946614
76,1.021187,2.200718,3.221905,8.372757
77,5.269544,8.950607,14.220151,10.364364
78,0.897541,4.568268,5.465809,3.653876
79,1.687297,6.518778,8.206075,5.821218
80,3.067514,2.667115,5.734629,5.671824
81,2.148024,3.460115,5.608139,3.81065
82,0.61489,4.816796,5.431686,3.81266
83,5.85445,5.894558,11.749008,13.551555
84,3.343449,24.197637,27.541086,27.238443
85,4.934405,8.631844,13.566249,14.13679
86,0.803825,3.940956,4.744781,5.264483
87,3.206319,3.501047,6.707366,5.541497
88,4.855345,8.931285,13.78663,10.287366
89,1.276863,5.807948,7.084811,7.802152
90,0.883934,8.245265,9.129199,5.705278
91,0.957403,11.935985,12.893388,10.701509
92,2.470832,15.594816,18.065648,14.886003
93,1.762364,11.194499,12.956863,10.518315
94,1.498862,5.467093,6.965955,10.281634
95,2.580495,5.959308,8.539803,8.439619
96,0.791296,6.87959,7.670886,7.933666
97,0.826641,12.427439,13.25408,13.889668
98,2.017176,1.837457,3.854633,5.357862
99,0.774138,5.292246,6.066384,9.427833
100,0.990059,6.776227,7.766286,5.359509
101,7.740795,10.862085,18.60288,12.100074
102,9.973301,8.871952,18.845253,5.090561
103,4.831004,9.7043,14.535304,10.886605
104,1.39898,6.093453,7.492433,4.815136
105,1.278924,3.869117,5.148041,7.524795
106,2.007689,9.101605,11.109294,6.002947
107,5.156482,11.262078,16.41856,12.939803
108,1.382929,2.880669,4.263598,15.595355
109,1.498283,3.274117,4.7724,3.637968
110,0.718454,9.613278,10.331732,8.430284
111,6.439731,5.808561,12.248292,8.733662
112,0.611551,5.491546,6.103097,5.166393
113,0.633717,3.030772,3.664489,2.937348
114,0.750857,4.776025,5.526882,7.533783
115,1.236482,8.856675,10.093157,7.846672
116,0.955262,5.644739,6.600001,5.718322
117,1.555731,5.616173,7.171904,4.417656
118,2.052544,14.150113,16.202657,9.112656
119,2.569147,3.069152,5.638299,7.151144
120,3.709705,7.017335,10.72704,8.0212
