sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
1,0.97311,1.123961,2.097071,
2,2.424626,7.562073,9.986699,
3,1.868983,4.116257,5.98524,
4,0.70685,1.112156,1.819006,
5,4.123475,11.684865,15.80834,
6,4.703858,6.832004,11.535862,
7,3.000151,10.87764,13.877791,
8,4.057236,6.207298,10.264534,
9,0.70946,1.324681,2.034141,
10,2.806658,9.090886,11.897544,
11,2.265466,7.537313,9.802779,
12,2.990338,6.24634,9.236678,
13,1.188998,3.012298,4.201296,
14,1.926713,2.785646,4.712359,
15,1.298383,5.617926,6.916309,
16,2.572182,10.209938,12.78212,
17,0.861596,1.996913,2.858509,
18,2.709913,6.776908,9.486821,
19,2.267731,7.821935,10.089666,
20,2.992635,7.053451,10.046086,
21,2.864121,7.513929,10.37805,
22,0.888709,1.720144,2.608853,
23,0.991266,2.19294,3.184206,
24,3.730261,7.917898,11.648159,
25,2.58534,9.289312,11.874652,
26,0.97276,3.784135,4.756895,
27,3.23054,2.386008,5.616548,
28,1.012161,2.658109,3.67027,
29,3.341678,5.958836,9.300514,
30,1.489324,1.229885,2.719209,
31,2.797461,8.219599,11.01706,
32,0.962656,2.168762,3.131418,
33,0.877731,2.006511,2.884242,
34,2.469915,6.333922,8.803837,
35,2.780008,6.09382,8.873828,
36,2.684715,7.682174,10.366889,
37,6.174051,7.094249,13.2683,
38,0.599303,1.199483,1.798786,
39,0.738698,1.253986,1.992684,
40,1.090994,1.550163,2.641157,
41,3.528753,6.831798,10.360551,
42,3.683451,7.892847,11.576298,
43,2.747456,4.653061,7.400517,
44,0.728421,1.868216,2.596637,
45,3.334445,7.79875,11.133195,
46,3.107079,6.692278,9.799357,
47,6.580094,6.759135,13.339229,
48,5.039494,15.404883,20.444377,
49,1.909249,9.801591,11.71084,
50,4.897537,11.109989,16.007526,
51,4.974582,7.058248,12.03283,
52,3.284885,8.970991,12.255876,
53,4.232084,7.835312,12.067396,
54,3.344395,5.792788,9.137183,
55,3.863682,9.273819,13.137501,
56,2.35211,6.855461,9.207571,
57,2.2254,4.191125,6.416525,
58,2.504345,6.059773,8.564118,
59,2.577448,6.167765,8.745213,
60,2.143248,1.606714,3.749962,
61,2.788367,6.547866,9.336233,
62,2.828684,5.679103,8.507787,
63,3.143421,5.596186,8.739607,
64,2.141892,2.318107,4.459999,
65,4.994531,10.335228,15.329759,
66,3.081895,7.153845,10.23574,
67,0.898333,2.634435,3.532768,
68,2.296174,8.024257,10.320431,
69,2.095741,2.83464,4.930381,
70,3.194055,10.153446,13.347501,
71,1.042688,2.290013,3.332701,
72,2.107121,7.38459,9.491711,
73,2.719671,9.526374,12.246045,
74,2.513025,7.346834,9.859859,
75,1.47674,4.951219,6.427959,
76,0.686666,2.249762,2.936428,
77,2.229037,5.546268,7.775305,
78,2.404467,6.616893,9.02136,
79,7.013792,12.660564,19.674356,
80,4.380178,9.304416,13.684594,
81,3.516949,9.686583,13.203532,
82,2.998562,10.777592,13.776154,
83,0.902118,4.418723,5.320841,
84,2.554605,10.872575,13.42718,
85,3.129198,7.437368,10.566566,
86,2.144598,8.378408,10.523006,
87,0.856133,2.228077,3.08421,
88,0.624691,1.559953,2.184644,
89,2.612011,7.760823,10.372834,
90,2.789944,8.303482,11.093426,
91,1.114714,1.602373,2.717087,
92,0.719133,1.105695,1.824828,
93,0.766544,1.274979,2.041523,
94,3.163418,3.451334,6.614752,
95,2.648244,8.498402,11.146646,
96,3.034993,8.2232,11.258193,
97,2.738204,6.917346,9.65555,
98,3.195519,8.914338,12.109857,
99,0.66546,1.760707,2.426167,
100,1.998482,8.127525,10.126007,
101,3.34636,8.950011,12.296371,
102,5.038694,6.681251,11.719945,
103,0.524336,1.438367,1.962703,
104,1.479103,2.620424,4.099527,
105,2.097637,8.613979,10.711616,
106,2.133142,9.627111,11.760253,
107,4.951744,8.745481,13.697225,
108,3.55191,7.153826,10.705736,
109,2.228101,6.68301,8.911111,
110,2.176018,7.256021,9.432039,
111,2.77883,6.86432,9.64315,
112,0.718466,3.282211,4.000677,
113,2.74824,8.421766,11.170006,
114,2.888418,6.498059,9.386477,
115,5.10274,5.174412,10.277152,
116,1.192062,2.272833,3.464895,
117,2.741333,7.837817,10.57915,
118,2.387571,9.76008,12.147651,
119,1.638037,2.398827,4.036864,
